Customer ID,SKU,Issue,Failure Component,Claim Date,Resolution,Repair Cost
CUST-44237,SKU-BOS-WASH-SER8,Drifting Analog Stick,Digital Touch Control Board,2022-01-29,Refurbished Board Soldered,51.18
CUST-55309,SKU-SAM-GS23U-512,Noisy Motor / Bearing Friction,200MP Camera Sensor,2022-04-22,Battery Replacement,167.58
CUST-85574,SKU-DYS-V15-DETECT,Water Seal Compromise,7-cell Click-in Battery,2022-04-29,Component Cleaned & Re-calibrated,63.9
CUST-80575,SKU-SON-WH1000-M5,Battery Drain / Rapid Discharge,Soft Fit Leather Earpads,2023-03-23,Claim Rejected - User Damage,25.07
CUST-91678,SKU-SON-WH1000-M5,Wireless Connectivity Loss,Soft Fit Leather Earpads,2023-11-12,Battery Replacement,62.75
CUST-52753,SKU-DYS-V15-DETECT,Noisy Motor / Bearing Friction,Hyperdymium Motor,2022-11-13,Component Cleaned & Re-calibrated,92.36
CUST-59695,SKU-LG-OLED65-C3,Drifting Analog Stick,40W 2.2 Ch Speaker Array,2022-07-16,Screen Assembly Swapped,211.26
CUST-10053,SKU-SAM-GS23U-512,Water Seal Compromise,200MP Camera Sensor,2023-02-20,Refurbished Board Soldered,155.96
CUST-52237,SKU-DEL-XPS15-9530,Logic Board Power Failure,4K OLED Touch Display,2023-08-17,Unit Replaced Under Warranty,410.23
CUST-32241,SKU-NIN-SWITCH-OLED,Physical Port Corruption,4310mAh Battery,2022-08-07,Claim Rejected - User Damage,55.16
CUST-22240,SKU-APP-MBA-M2,Drifting Analog Stick,52.6Wh Battery,2023-10-11,Claim Rejected - User Damage,251.03
CUST-42092,SKU-SON-WH1000-M5,Logic Board Power Failure,Soft Fit Leather Earpads,2022-05-31,Screen Assembly Swapped,26.0
CUST-85454,SKU-NIN-SWITCH-OLED,Screen Flicker / Dead Pixels,Docking Station Mainboard,2023-03-01,Unit Replaced Under Warranty,77.28
CUST-10726,SKU-SON-WH1000-M5,Physical Port Corruption,30-hour Battery,2022-09-07,Unit Replaced Under Warranty,31.05
CUST-16582,SKU-APP-MBA-M2,Logic Board Power Failure,Magic Keyboard,2023-12-14,Screen Assembly Swapped,214.05
CUST-97500,SKU-BOS-WASH-SER8,Screen Flicker / Dead Pixels,VarioDrum Stainless Tub,2022-05-17,Unit Replaced Under Warranty,206.92
CUST-76162,SKU-BOS-WASH-SER8,Water Seal Compromise,Heavy Weight Ballast Block,2023-03-30,Refurbished Board Soldered,164.07
CUST-42406,SKU-LG-OLED65-C3,Physical Port Corruption,Magical Remote Sensor,2023-05-02,Screen Assembly Swapped,224.38
CUST-20155,SKU-DEL-XPS15-9530,Physical Port Corruption,Carbon Fiber Palmrest,2022-09-02,Claim Rejected - User Damage,199.37
CUST-20561,SKU-DEL-XPS15-9530,Noisy Motor / Bearing Friction,NVIDIA RTX 4070 GPU,2022-11-24,Refurbished Board Soldered,592.07
CUST-38043,SKU-SAM-GS23U-512,Logic Board Power Failure,Snapdragon 8 Gen 2 Board,2023-12-12,Unit Replaced Under Warranty,61.52
CUST-18161,SKU-APP-MBA-M2,Wireless Connectivity Loss,Magic Keyboard,2023-07-10,Refurbished Board Soldered,195.06
CUST-85456,SKU-SON-WH1000-M5,Wireless Connectivity Loss,30-hour Battery,2023-12-14,Component Cleaned & Re-calibrated,25.8
CUST-64921,SKU-LG-OLED65-C3,Battery Drain / Rapid Discharge,Power Supply Unit,2022-11-02,Refurbished Board Soldered,358.79
CUST-67125,SKU-BOS-WASH-SER8,Water Seal Compromise,Heavy Weight Ballast Block,2023-05-15,Screen Assembly Swapped,74.81
CUST-62994,SKU-NIN-SWITCH-OLED,Wireless Connectivity Loss,7-inch OLED Display,2023-11-16,Refurbished Board Soldered,65.07
CUST-61645,SKU-SAM-GS23U-512,Thermal Throttling / Overheating,S-Pen Digitizer,2023-07-01,Component Cleaned & Re-calibrated,31.44
CUST-70515,SKU-CAN-EOS-R6M2,Battery Drain / Rapid Discharge,Magnesium Alloy Frame,2023-10-21,Battery Replacement,243.16
CUST-52840,SKU-SAM-GS23U-512,Noisy Motor / Bearing Friction,Dynamic AMOLED 2X Screen,2022-12-02,Unit Replaced Under Warranty,75.59
CUST-71644,SKU-DYS-V15-DETECT,Noisy Motor / Bearing Friction,7-cell Click-in Battery,2022-09-16,Unit Replaced Under Warranty,109.33
CUST-95426,SKU-APP-IP14P-256,Battery Drain / Rapid Discharge,Triple Camera Module,2022-08-18,Refurbished Board Soldered,195.99
CUST-41266,SKU-APP-IP14P-256,Logic Board Power Failure,Lithium-Ion Battery,2022-01-21,Screen Assembly Swapped,188.41
CUST-43586,SKU-SAM-GS23U-512,Screen Flicker / Dead Pixels,S-Pen Digitizer,2022-08-12,Component Cleaned & Re-calibrated,136.14
CUST-31465,SKU-DYS-V15-DETECT,Water Seal Compromise,Laser Slim Fluffy Cleaner Head,2022-04-28,Component Cleaned & Re-calibrated,103.56
CUST-59192,SKU-DEL-XPS15-9530,Water Seal Compromise,Intel i9-13900H Board,2022-11-16,Battery Replacement,390.63
CUST-41830,SKU-LG-OLED65-C3,Screen Flicker / Dead Pixels,alpha9 AI Processor Gen6 Board,2023-12-09,Component Cleaned & Re-calibrated,392.94
CUST-55508,SKU-APP-MBA-M2,Water Seal Compromise,52.6Wh Battery,2023-08-03,Battery Replacement,310.66
CUST-11658,SKU-BOS-WASH-SER8,Camera Sensor Artifacts,Digital Touch Control Board,2023-06-03,Battery Replacement,171.99
CUST-70258,SKU-LG-OLED65-C3,Screen Flicker / Dead Pixels,Power Supply Unit,2023-01-06,Unit Replaced Under Warranty,306.56
CUST-45400,SKU-SAM-GS23U-512,Thermal Throttling / Overheating,S-Pen Digitizer,2023-06-19,Claim Rejected - User Damage,255.75
CUST-87656,SKU-CAN-EOS-R6M2,Physical Port Corruption,Magnesium Alloy Frame,2023-03-23,Unit Replaced Under Warranty,445.3
CUST-41963,SKU-DEL-XPS15-9530,Logic Board Power Failure,4K OLED Touch Display,2022-10-13,Battery Replacement,584.84
CUST-74789,SKU-NIN-SWITCH-OLED,Water Seal Compromise,Docking Station Mainboard,2023-01-24,Claim Rejected - User Damage,44.85
CUST-54608,SKU-DYS-V15-DETECT,Physical Port Corruption,Laser Slim Fluffy Cleaner Head,2022-12-30,Screen Assembly Swapped,105.58
CUST-35042,SKU-DEL-XPS15-9530,Noisy Motor / Bearing Friction,Carbon Fiber Palmrest,2022-01-11,Component Cleaned & Re-calibrated,353.06
CUST-72402,SKU-APP-MBA-M2,Wireless Connectivity Loss,Liquid Retina Panel,2023-07-23,Unit Replaced Under Warranty,301.73
CUST-41890,SKU-NIN-SWITCH-OLED,Battery Drain / Rapid Discharge,4310mAh Battery,2022-10-29,Battery Replacement,38.07
CUST-65771,SKU-DEL-XPS15-9530,Camera Sensor Artifacts,Carbon Fiber Palmrest,2023-07-21,Unit Replaced Under Warranty,362.14
CUST-42951,SKU-BOS-WASH-SER8,Camera Sensor Artifacts,AquaStop Safety Valve,2023-04-10,Claim Rejected - User Damage,86.5
CUST-34267,SKU-SON-WH1000-M5,Logic Board Power Failure,30mm Driver Units,2022-05-03,Refurbished Board Soldered,55.46
CUST-78765,SKU-SON-WH1000-M5,Physical Port Corruption,Dual Noise Canceling Chips,2023-08-27,Refurbished Board Soldered,65.04
CUST-33519,SKU-CAN-EOS-R6M2,Screen Flicker / Dead Pixels,5-axis In-Body Stabilizer,2022-10-31,Screen Assembly Swapped,140.79
CUST-17146,SKU-DEL-XPS15-9530,Drifting Analog Stick,Intel i9-13900H Board,2022-10-08,Screen Assembly Swapped,53.9
CUST-11607,SKU-BOS-WASH-SER8,Thermal Throttling / Overheating,AquaStop Safety Valve,2023-05-18,Claim Rejected - User Damage,48.29
CUST-16734,SKU-CAN-EOS-R6M2,Physical Port Corruption,5-axis In-Body Stabilizer,2023-03-28,Unit Replaced Under Warranty,198.42
