SKU,Product,Manufacturer,Category,total_mfg_cost_usd,total_carbon_footprint_kg,total_weight_g,matched_sku,total_listings_count,avg_resale_price_usd,min_resale_price_usd,max_resale_price_usd,refurbished_count,salvage_count,resale_index,refurbishment_score,landfill_diversion_pct,circularity_score,co2_avoided_tons
SKU-APP-IP14P-256,iPhone 14 Pro 256GB,Apple,Smartphones,378.04999999999995,71.96,168.7,SKU-APP-IP14P-256,13958,504.61236208625877,19.54,1493.54,2368,2322,1.3348,16.97,83.36,91.68,703.09
SKU-APP-MBA-M2,MacBook Air M2 13-inch,Apple,Laptops,777.66,125.08,1186.5,SKU-APP-MBA-M2,4037,618.8530468169432,113.1,1102.04,686,654,0.7958,16.99,83.8,81.69,353.46
SKU-BOS-WASH-SER8,Series 8 Front Load Washer,Bosch,Home Appliances,417.47,419.59000000000003,64230.4,SKU-BOS-WASH-SER8,3005,403.09700831946753,71.03,709.28,502,495,0.9656,16.71,83.53,90.04,882.61
SKU-CAN-EOS-R6M2,EOS R6 Mark II Mirrorless Body,Canon,Cameras,795.86,106.0,504.4,SKU-CAN-EOS-R6M2,4141,851.5786066167592,152.68,1512.93,705,676,1.07,17.02,83.68,91.84,307.26
SKU-DEL-XPS15-9530,XPS 15 Laptop i9 32GB,Dell,Laptops,1135.25,301.63,2391.7,SKU-DEL-XPS15-9530,4986,1043.7811572402727,192.65,1866.29,811,847,0.9194,16.27,83.01,87.48,1052.75
SKU-DYS-V15-DETECT,V15 Detect Cordless Vacuum,Dyson,Home Appliances,285.99,43.87,3207.0,SKU-DYS-V15-DETECT,4975,199.28798190954774,35.77,357.43,802,837,0.6968,16.12,83.18,76.43,152.78
SKU-LG-OLED65-C3,OLED65 C3 4K Smart TV,LG Electronics,Televisions,953.1700000000001,361.53,17188.0,SKU-LG-OLED65-C3,1990,760.6021859296483,140.48,1321.26,334,298,0.798,16.78,85.03,82.42,503.61
SKU-NIN-SWITCH-OLED,Nintendo Switch OLED Model,Nintendo,Gaming,144.73000000000002,24.11,419.5,SKU-NIN-SWITCH-OLED,4034,133.2559221616262,24.5,235.87,756,693,0.9207,18.74,82.82,87.44,68.08
SKU-SAM-GS23U-512,Galaxy S23 Ultra 512GB,Samsung,Smartphones,452.15999999999997,85.50999999999999,287.3,SKU-SAM-GS23U-512,4921,415.5787827677301,74.21,750.57,845,832,0.9191,17.17,83.09,87.5,294.56
SKU-SON-WH1000-M5,WH-1000XM5 Wireless Headphones,Sony,Audio,127.82,17.69,288.8,SKU-SON-WH1000-M5,3953,104.21750569187958,18.87,186.79,666,676,0.8153,16.85,82.9,82.22,48.95
