SKU,Product,Manufacturer,Category,Component,manufacturing_cost_usd,production_date,Country,Supplier,carbon_footprint_kg,Weight,Material,warranty_period_months,warranty_claims_count,failure_rate,_ingested_at,_source_file,failure_component,claim_count,avg_repair_cost_usd,total_repair_cost_usd,repair_cost_ratio,repairability_index
SKU-APP-IP14P-256,iPhone 14 Pro 256GB,Apple,Smartphones,Lithium-Ion Battery,61.36,2022-10-17,Germany,Nidec Motor,16.6,30.1,Aluminum,24,26,0.0198,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Lithium-Ion Battery,220,163.64,36001.48,2.67,7.8
SKU-APP-IP14P-256,iPhone 14 Pro 256GB,Apple,Smartphones,OLED Display Assembly,51.58,2021-02-02,Mexico,LG Display,10.44,44.6,Glass,24,27,0.0119,2026-07-20T17:18:34.029424,manufacturing_bom.csv,OLED Display Assembly,211,159.28,33608.5,3.09,7.89
SKU-APP-IP14P-256,iPhone 14 Pro 256GB,Apple,Smartphones,A16 Bionic Logic Board,118.71,2022-04-05,Mexico,Kyocera Components,17.4,16.8,Lithium,24,494,0.0664,2026-07-20T17:18:34.029424,manufacturing_bom.csv,A16 Bionic Logic Board,206,149.22,30739.15,1.26,7.94
SKU-APP-IP14P-256,iPhone 14 Pro 256GB,Apple,Smartphones,Titanium Frame,66.66,2021-10-12,Taiwan,Kyocera Components,19.15,35.2,Cobalt,24,21,0.0165,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Titanium Frame,200,152.75,30550.39,2.29,8.0
SKU-APP-IP14P-256,iPhone 14 Pro 256GB,Apple,Smartphones,Triple Camera Module,79.74,2022-09-11,Germany,Murata Electronics,8.37,42.0,Rare Earth Elements,24,77,0.0187,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Triple Camera Module,182,160.4,29193.2,2.01,8.18
SKU-APP-MBA-M2,MacBook Air M2 13-inch,Apple,Laptops,M2 SoC Logic Board,167.15,2023-04-30,United States,LG Display,41.07,220.3,100% Recycled Aluminum,12,23,0.0235,2026-07-20T17:18:34.029424,manufacturing_bom.csv,M2 SoC Logic Board,200,197.02,39403.17,1.18,8.0
SKU-APP-MBA-M2,MacBook Air M2 13-inch,Apple,Laptops,Liquid Retina Panel,112.03,2023-03-03,Vietnam,Kyocera Components,19.75,177.1,Glass,12,53,0.0171,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Liquid Retina Panel,178,203.35,36196.53,1.82,8.22
SKU-APP-MBA-M2,MacBook Air M2 13-inch,Apple,Laptops,52.6Wh Battery,125.15,2021-06-16,Germany,Samsung SDI,23.18,188.6,Copper,12,523,0.0756,2026-07-20T17:18:34.029424,manufacturing_bom.csv,52.6Wh Battery,201,215.68,43351.45,1.72,7.99
SKU-APP-MBA-M2,MacBook Air M2 13-inch,Apple,Laptops,Magic Keyboard,183.48,2022-07-01,South Korea,Kyocera Components,21.96,226.2,Gold,12,542,0.0793,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Magic Keyboard,185,201.37,37253.97,1.1,8.15
SKU-APP-MBA-M2,MacBook Air M2 13-inch,Apple,Laptops,MagSafe 3 Connector,189.85,2023-05-14,China,TSMC Semiconductor,19.12,374.3,100% Recycled Aluminum,12,292,0.0664,2026-07-20T17:18:34.029424,manufacturing_bom.csv,MagSafe 3 Connector,192,206.6,39667.85,1.09,8.08
