Manufacturer,Category,units_circulated,total_co2_avoided_tons,avg_circularity_score,avg_landfill_diversion_pct,carbon_financial_savings_usd
Apple,Laptops,4037,353.46,81.69,83.8,30044.1
Apple,Smartphones,13958,703.09,91.68,83.36,59762.65
Bosch,Home Appliances,3005,882.61,90.04,83.53,75021.85
Canon,Cameras,4141,307.26,91.84,83.68,26117.1
Dell,Laptops,4986,1052.75,87.48,83.01,89483.75
Dyson,Home Appliances,4975,152.78,76.43,83.18,12986.3
LG Electronics,Televisions,1990,503.61,82.42,85.03,42806.85
Nintendo,Gaming,4034,68.08,87.44,82.82,5786.8
Samsung,Smartphones,4921,294.56,87.5,83.09,25037.6
Sony,Audio,3953,48.95,82.22,82.9,4160.75
